name,fullname,level,type,category
LICS,IEEE Symposium on Logic in Computer Science,A,Meeting,6
SoCG,ACM Symposium on Computational Geometry,B,Meeting,6
ESA,European Symposium on Algorithms,B,Meeting,6
CCC,IEEE Conference on Computational Complexity,B,Meeting,6
ICALP,"International Colloquium on Automata, Languages and Programming",B,Meeting,6
CADE/IJCAR,International Conference on Automated Deduction/International Joint Conference on Automated Reasoning,B,Meeting,6
CONCUR,International Conference on Concurrency Theory,B,Meeting,6
HSCC,International Conference on Hybrid Systems: Computation and Control,B,Meeting,6
SAT,Theory and Applications of Satisfiability Testing,B,Meeting,6
CSL,Computer Science Logic,C,Meeting,6
FMCAD,Formal Method in Computer-Aided Design,C,Meeting,6
FSTTCS,Foundations of Software Technology and Theoretical Computer Science,C,Meeting,6
DSAA,IEEE International Conference on Data Science and Advanced Analytics,C,Meeting,6
ICTAC,International Colloquium on Theoretical Aspects of Computing,C,Meeting,6
IPCO,International Conference on Integer Programming and Combinatorial Optimization,C,Meeting,6
RTA,International Conference on Rewriting Techniques and Applications,C,Meeting,6
ISAAC,International Symposium on Algorithms and Computation,C,Meeting,6
MFCS,Mathematical Foundations of Computer Science,C,Meeting,6
STACS,Symposium on Theoretical Aspects of Computer Science,C,Meeting,6
TOG,ACM Transactions on Graphics,A,Journal,7
TIP,IEEE Transactions on Image Processing,A,Journal,7
TVCG,IEEE Transactions on Visualization and Computer Graphics,A,Journal,7
TOMCCAP,"ACM Transactions on Multimedia Computing,Communications and Application",B,Journal,7
CAGD,Computer Aided Geometric Design,B,Journal,7
CGF,Computer Graphics Forum,B,Journal,7
CAD,Computer-Aided Design,B,Journal,7
GM,Graphical Models,B,Journal,7
TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,B,Journal,7
TMM,IEEE Transactions on Multimedia,B,Journal,7
JASA,Journal of The Acoustical Society of America,B,Journal,7
SIIMS,SIAM Journal on Imaging Sciences,B,Journal,7
Speech Com,Speech Communication,B,Journal,7
CGTA,Computational Geometry: Theory and Applications,C,Journal,7
CAVW,Computer Animation and Virtual Worlds,C,Journal,7
C&G,Computers & Graphics,C,Journal,7
DCG,Discrete & Computational Geometry,C,Journal,7
SPL,IEEE Signal Processing Letters,C,Journal,7
IET-IPR,IET Image Processing,C,Journal,7
JVCIR,Journal of Visual Communication and Image Representation,C,Journal,7
MS,Multimedia Systems,C,Journal,7
MTA,Multimedia Tools and Applications,C,Journal,7
,Signal Processing,C,Journal,7
SPIC,Signal processing : image communication,C,Journal,7
TVC,The Visual Computer,C,Journal,7
ACM MM,ACM International Conference on Multimedia,A,Meeting,7
SIGGRAPH,ACM SIGGRAPH Annual Conference,A,Meeting,7
VR,IEEE Virtual Reality,A,Meeting,7
IEEE VIS,IEEE Visualization Conference,A,Meeting,7
ICMR,ACM SIGMM International Conference on Multimedia Retrieval,B,Meeting,7
SI3D,ACM Symposium on Interactive 3D Graphics,B,Meeting,7
SCA,ACM/Eurographics Symposium on Computer Animation,B,Meeting,7
DCC,Data Compression Conference,B,Meeting,7
EG,Eurographics,B,Meeting,7
EuroVis,Eurographics Conference on Visualization,B,Meeting,7
SGP,Eurographics Symposium on Geometry Processing,B,Meeting,7
EGSR,Eurographics Symposium on Rendering,B,Meeting,7
ICASSP,"IEEE International Conference on Acoustics,Speech and SP",B,Meeting,7
ICME,IEEE International Conference on Multimedia& Expo,B,Meeting,7
ISMAR,International Symposium on Mixed and Augmented Reality,B,Meeting,7
PG,Pacific Graphics: The Pacific Conference on Computer Graphics and Applications,B,Meeting,7
SPM,Symposium on Solid and Physical Modeling,B,Meeting,7
,ACM Symposium on Virtual Reality Software and Technology,C,Meeting,7
CASA,Computer Animation and Social Agents,C,Meeting,7
CGI,Computer Graphics International,C,Meeting,7
INTERSPEECH,Conference of the International SpeechCommunication Association,C,Meeting,7
GMP,Geometric Modeling and Processing,C,Meeting,7
PacificVis,IEEE Pacific Visualization Symposium,C,Meeting,7
3DV,International Conference on 3D Vision,C,Meeting,7
CAD/Graphics,International Conference on Computer-Aided Design and Computer Graphics,C,Meeting,7
ICIP,International Conference on Image Processing,C,Meeting,7
MMM,International Conference on Multimedia Modeling,C,Meeting,7
PCM,Pacific-Rim Conference on Multimedia,C,Meeting,7
SMI,Shape Modeling International,C,Meeting,7
AI,Artificial Intelligence,A,Journal,8
TPAMI,IEEE Trans on Pattern Analysis and Machine Intelligence,A,Journal,8
IJCV,International Journal of Computer Vision,A,Journal,8
JMLR,Journal of Machine Learning Research,A,Journal,8
TAP,ACM Transactions on Applied Perception,B,Journal,8
TSLP,ACM Transactions on Speech and Language Processing,B,Journal,8
AAMAS,Autonomous Agents and Multi-Agent Systems,B,Journal,8
,Computational Linguistics,B,Journal,8
CVIU,Computer Vision and Image Understanding,B,Journal,8
DKE,Data and Knowledge Engineering,B,Journal,8
,Evolutionary Computation,B,Journal,8
TAC,IEEE Transactions on Affective Computing,B,Journal,8
TASLP,"IEEE Transactions on Audio, Speech, and Language Processing",B,Journal,8
,IEEE Transactions on Cybernetics,B,Journal,8
TEC,IEEE Transactions on Evolutionary Computation,B,Journal,8
TFS,IEEE Transactions on Fuzzy Systems,B,Journal,8
TNNLS,IEEE Transactions on Neural Networks and learning systems,B,Journal,8
IJAR,International Journal of Approximate Reasoning,B,Journal,8
JAIR,Journal of Artificial Intelligence Research,B,Journal,8
,Journal of Automated Reasoning,B,Journal,8
JSLHR,"Journal of Speech, Language, and Hearing Research",B,Journal,8
,Machine Learning,B,Journal,8
,Neural Computation,B,Journal,8
,Neural Networks,B,Journal,8
,Pattern Recognition,B,Journal,8
TALLIP,ACM Transactions on Asian and Low-Resource Language Information Processing,C,Journal,8
,Applied Intelligence,C,Journal,8
AIM,Artificial Intelligence in Medicine,C,Journal,8
